title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Lincoln Summer Card Show,2026-06-06,2026-06-07,9:00 AM,3:00 PM,Lincoln,NE,Lancaster Event Center,84th & Havelock Ave,false,$4,,Sports Cards|Trading Cards,Summer Lincoln show with strong baseball and modern card selection.,,,90,
Omaha Summer Spectacular,2026-06-20,2026-06-21,9:00 AM,4:00 PM,Omaha,NE,Ralston Arena,7300 Q St,false,$5,,Sports Cards|Pokemon|Trading Cards,Midsummer Omaha spectacular drawing dealers from Nebraska Iowa and South Dakota.,,,135,
Kearney Card Show,2026-07-11,2026-07-11,9:00 AM,2:00 PM,Kearney,NE,Younes Conference Center,416 W 2nd Ave,false,$3,,Sports Cards,Central Nebraska card show in Kearney with dealers from the Platte River valley region.,,,50,
Omaha Late Summer Card Show,2026-07-18,2026-07-19,9:00 AM,4:00 PM,Omaha,NE,CHI Health Center Omaha,455 N 10th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Late summer Omaha show before football season with 145 dealer tables.,,,145,
Lincoln Fall Card Show,2026-08-08,2026-08-09,9:00 AM,3:00 PM,Lincoln,NE,Lancaster Event Center,84th & Havelock Ave,false,$4,,Sports Cards|Trading Cards,Fall warmup show in Lincoln ahead of the football card season.,,,90,
Omaha Fall Card Show,2026-08-22,2026-08-23,9:00 AM,4:00 PM,Omaha,NE,Ralston Arena,7300 Q St,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-football Omaha show with strong NFL and college card inventory.,,,135,
Omaha Fall Card Expo,2026-09-12,2026-09-13,9:00 AM,4:00 PM,Omaha,NE,CHI Health Center Omaha,455 N 10th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Fall expo at CHI Health Center — football season kickoff with 140+ dealer tables.,,,145,
Lincoln Fall Card Expo,2026-09-26,2026-09-27,9:00 AM,3:00 PM,Lincoln,NE,Lancaster Event Center,84th & Havelock Ave,false,$4,,Sports Cards|Trading Cards,Fall Lincoln expo with strong football and basketball card presence.,,,95,
Omaha October Card Show,2026-10-10,2026-10-11,9:00 AM,4:00 PM,Omaha,NE,Ralston Arena,7300 Q St,false,$5,,Sports Cards|Pokemon|Trading Cards,October Omaha show with 130+ dealer tables and strong vintage card selection.,,,135,
Fremont Card Show,2026-10-17,2026-10-17,9:00 AM,2:00 PM,Fremont,NE,Fremont Area Medical Center Conference Center,450 E 23rd St,true,,,Sports Cards,Free community card show in Fremont drawing Dodge County collectors.,,,35,
Omaha Holiday Card Show,2026-11-07,2026-11-08,9:00 AM,4:00 PM,Omaha,NE,CHI Health Center Omaha,455 N 10th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-holiday Omaha show — one of the biggest of the year with 145 dealer tables.,,,145,
Lincoln Holiday Card Show,2026-11-21,2026-11-22,9:00 AM,3:00 PM,Lincoln,NE,Lancaster Event Center,84th & Havelock Ave,false,$4,,Sports Cards|Trading Cards,Pre-Thanksgiving Lincoln show great for holiday gift buying.,,,90,
Omaha Year-End Card Show,2026-12-05,2026-12-06,9:00 AM,4:00 PM,Omaha,NE,Ralston Arena,7300 Q St,false,$5,,Sports Cards|Pokemon|Trading Cards,Year-end Omaha show wrapping up 2026 — last chance for holiday card gifts.,,,135,
