title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Northeast Kansas Card Show,2026-08-30,2026-08-30,10:00 AM,5:00 PM,Lawrence,KS,Douglas County 4H Fairgrounds,,false,,,"Sports Cards,Memorabilia",,,,,
McPherson Sports Card and Memorabilia Show,2026-09-12,2026-09-12,9:00 AM,3:00 PM,McPherson,KS,McPherson Community Building,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show,2026-09-12,2026-09-12,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Northeast Kansas Card Show,2026-09-13,2026-09-13,10:00 AM,5:00 PM,Lawrence,KS,Douglas County 4H Fairgrounds,,false,,,"Sports Cards,Memorabilia",,,,,
Beloit Sportscard and Memorabilia Show,2026-09-19,2026-09-19,9:00 AM,3:00 PM,Beloit,KS,Mitchell County Kansas Fairgrounds,,false,,,"Sports Cards,Memorabilia",,,,,
Midwest Card Collectors Expo,2026-09-19,2026-09-19,11:30 AM,7:00 PM,Wichita,KS,Century II Convention Center,,false,,,"Sports Cards,Memorabilia",,,,,
Beloit Sportscard and Memorabilia Show,2026-09-26,2026-09-26,9:00 AM,3:00 PM,Beloit,KS,Beloit Fairgrounds Building,,false,,,"Sports Cards,Memorabilia",,,,,
Oliver's Sports Card Show,2026-09-26,2026-09-27,9:00 AM,4:00 PM,Wichita,KS,Wichita Sports Forum,,false,,,Sports Cards,,,,,
The Johnson County Card Show: 2-Day Show,2026-09-26,2026-09-27,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Kansas Card Show,2026-10-10,2026-10-10,9:00 AM,4:00 PM,Wichita,KS,Hilton Wichita Airport,,false,,,Sports Cards,,,,,
The Johnson County Card Show,2026-10-10,2026-10-10,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Northeast Kansas Card Show,2026-10-31,2026-10-31,10:00 AM,5:00 PM,Lawrence,KS,Douglas County 4H Fairgrounds,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show: Halloween Bash,2026-10-31,2026-11-01,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
McPherson Sports Card and Memorabilia Show,2026-11-14,2026-11-14,9:00 AM,3:00 PM,McPherson,KS,McPherson Community Building,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show,2026-11-14,2026-11-14,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
The Johnson County Card Show: 2-Day Show,2026-11-28,2026-11-29,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Kansas Card Show,2026-12-19,2026-12-20,9:00 AM,4:00 PM,Wichita,KS,Hyatt Regency Wichita,,false,,,Sports Cards,,,,,
The Johnson County Card Show: Santa's Shake & Bake Workshop,2026-12-19,2026-12-20,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
