title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Ames Card Show,2026-07-11,2026-07-11,9:00 AM,2:00 PM,Ames,IA,Ames Main Street Cultural District,215 Main St,true,,,Sports Cards|Pokemon,Free Ames card show drawing Iowa State University area collectors.,,,45,
Des Moines Late Summer Card Show,2026-07-18,2026-07-19,9:00 AM,4:00 PM,Des Moines,IA,Iowa Events Center,730 Third St,false,$5,,Sports Cards|Pokemon|Trading Cards,Late summer Des Moines show before football season with 155 tables.,,,155,
Cedar Rapids Fall Card Show,2026-08-08,2026-08-09,9:00 AM,3:00 PM,Cedar Rapids,IA,US Cellular Center,370 1st Ave NE,false,$4,,Sports Cards|Trading Cards,Fall Cedar Rapids show ahead of the football card season.,,,90,
Des Moines Fall Card Show,2026-08-22,2026-08-23,9:00 AM,4:00 PM,Des Moines,IA,Iowa State Fairgrounds,3000 E Grand Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-football Des Moines show with 145 dealer tables.,,,145,
Des Moines Fall Card Expo,2026-09-12,2026-09-13,9:00 AM,4:00 PM,Des Moines,IA,Iowa Events Center,730 Third St,false,$5,,Sports Cards|Pokemon|Trading Cards,Fall expo at the Iowa Events Center — football season kickoff with 155 tables.,,,155,
Davenport Fall Card Show,2026-09-26,2026-09-27,9:00 AM,3:00 PM,Davenport,IA,Mississippi Valley Fairgrounds,2815 W Locust St,false,$4,,Sports Cards|Trading Cards,Fall Quad Cities show with strong NFL and college card inventory.,,,110,
Des Moines October Card Show,2026-10-10,2026-10-11,9:00 AM,4:00 PM,Des Moines,IA,Iowa State Fairgrounds,3000 E Grand Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,October Des Moines show with strong vintage and modern card selection.,,,145,
Dubuque Card Show,2026-10-17,2026-10-17,9:00 AM,2:00 PM,Dubuque,IA,Grand River Center,500 Bell St,false,$3,,Sports Cards,Northeast Iowa card show in Dubuque drawing dealers from the tri-state area.,,,55,
Des Moines Holiday Card Show,2026-11-07,2026-11-08,9:00 AM,4:00 PM,Des Moines,IA,Iowa Events Center,730 Third St,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-holiday Des Moines show at the Iowa Events Center with 155 tables.,,,155,
Cedar Rapids Holiday Card Show,2026-11-21,2026-11-22,9:00 AM,3:00 PM,Cedar Rapids,IA,US Cellular Center,370 1st Ave NE,false,$4,,Sports Cards|Trading Cards,Pre-Thanksgiving Cedar Rapids holiday show great for gift buying.,,,90,
Des Moines Year-End Card Show,2026-12-05,2026-12-06,9:00 AM,4:00 PM,Des Moines,IA,Iowa State Fairgrounds,3000 E Grand Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Year-end Des Moines show wrapping up 2026 with 145 tables.,,,145,
