title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Edmond Card Show,2026-05-02,2026-05-02,9:00 AM,2:00 PM,Edmond,OK,Edmond Conference Center,2 Sheraton Dr,true,,,Sports Cards,Free card show in Edmond drawing north OKC metro collectors.,,,45,
Tulsa Card Show,2026-05-16,2026-05-17,9:00 AM,3:00 PM,Tulsa,OK,Tulsa Expo Center,21st & Yale,false,$4,,Sports Cards|Trading Cards,May Tulsa show with strong baseball card presence heading into summer.,,,100,
Oklahoma City Summer Card Show,2026-06-06,2026-06-07,9:00 AM,4:00 PM,Oklahoma City,OK,State Fair Park,3001 General Pershing Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Summer State Fair Park show with 150 dealer tables.,,,150,
Enid Card Show,2026-06-20,2026-06-20,9:00 AM,2:00 PM,Enid,OK,Enid Event Center,301 S Independence,false,$2,,Sports Cards,Northwest Oklahoma card show in Enid drawing dealers from the panhandle region.,,,45,
Tulsa Summer Card Expo,2026-07-11,2026-07-12,9:00 AM,3:00 PM,Tulsa,OK,Tulsa Expo Center,21st & Yale,false,$4,,Sports Cards|Trading Cards,Summer Tulsa card expo with 100+ tables and strong modern card selection.,,,100,
Oklahoma City Summer Spectacular,2026-07-18,2026-07-19,9:00 AM,4:00 PM,Oklahoma City,OK,Cox Convention Center,1 Myriad Gardens,false,$5,,Sports Cards|Pokemon|Trading Cards,Mid-summer OKC spectacular with 140+ dealer tables from across the South.,,,145,
Stillwater Card Show,2026-08-01,2026-08-01,9:00 AM,2:00 PM,Stillwater,OK,OSU Gallagher-Iba Arena Lobby,100 Athletic Ave,true,,,Sports Cards,Free community show in Stillwater drawing OSU-area collectors.,,,40,
Oklahoma City Fall Card Show,2026-08-15,2026-08-16,9:00 AM,4:00 PM,Oklahoma City,OK,State Fair Park,3001 General Pershing Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-football-season State Fair Park show with 150+ dealer tables.,,,155,
Tulsa Fall Card Show,2026-09-12,2026-09-13,9:00 AM,3:00 PM,Tulsa,OK,Tulsa Expo Center,21st & Yale,false,$4,,Sports Cards|Trading Cards,Football season kickoff show in Tulsa with strong NFL and college card inventory.,,,100,
Oklahoma City Fall Spectacular,2026-09-19,2026-09-20,9:00 AM,4:00 PM,Oklahoma City,OK,Cox Convention Center,1 Myriad Gardens,false,$5,,Sports Cards|Pokemon|Trading Cards,Fall spectacular at Cox Convention Center with 140+ tables.,,,145,
Midwest City Card Show,2026-10-03,2026-10-03,9:00 AM,2:00 PM,Midwest City,OK,Reed Conference Center,5800 Will Rogers Rd,false,$3,,Sports Cards,East OKC metro card show in Midwest City.,,,55,
Tulsa Fall Card Expo,2026-10-10,2026-10-11,9:00 AM,4:00 PM,Tulsa,OK,Tulsa Convention Center,100 Civic Center,false,$5,,Sports Cards|Trading Cards,Fall Tulsa expo at the Convention Center with 130 tables.,,,130,
Oklahoma City Fall Card Expo,2026-10-17,2026-10-18,9:00 AM,4:00 PM,Oklahoma City,OK,State Fair Park,3001 General Pershing Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,October State Fair Park show drawing collectors from across Oklahoma and north Texas.,,,155,
Muskogee Card Show,2026-10-24,2026-10-24,9:00 AM,2:00 PM,Muskogee,OK,Muskogee Civic Center,425 Boston St,false,$3,,Sports Cards,Eastern Oklahoma card show serving the Muskogee and Tahlequah collector community.,,,50,
Oklahoma City Holiday Card Show,2026-11-07,2026-11-08,9:00 AM,4:00 PM,Oklahoma City,OK,Cox Convention Center,1 Myriad Gardens,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-holiday OKC show — one of the biggest of the year with 145+ dealer tables.,,,145,
Tulsa Holiday Card Show,2026-11-14,2026-11-15,9:00 AM,3:00 PM,Tulsa,OK,Tulsa Expo Center,21st & Yale,false,$4,,Sports Cards|Trading Cards,Pre-Thanksgiving Tulsa holiday show with strong vintage and modern card selection.,,,100,
Oklahoma City Year-End Card Show,2026-12-05,2026-12-06,9:00 AM,4:00 PM,Oklahoma City,OK,State Fair Park,3001 General Pershing Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Year-end OKC show wrapping up 2026 with 150 tables of cards and collectibles.,,,150,
Tulsa Year-End Card Show,2026-12-12,2026-12-12,9:00 AM,3:00 PM,Tulsa,OK,Tulsa Expo Center,21st & Yale,false,$4,,Sports Cards|Trading Cards,December year-end Tulsa show — great for holiday gift buying.,,,100,
