title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Fort Collins Summer Card Show,2026-08-01,2026-08-01,9:00 AM,2:00 PM,Fort Collins,CO,Foothills Activity Center,215 N Mason St,false,$3,,Sports Cards,Late summer Fort Collins show drawing northern Colorado and southern Wyoming collectors.,,,60,
Denver Fall Card Show,2026-08-15,2026-08-16,9:00 AM,4:00 PM,Denver,CO,Denver Merchandise Mart,451 E 58th Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Fall warmup show at the Merchandise Mart before football season.,,,165,
Colorado Springs Fall Card Show,2026-09-12,2026-09-13,9:00 AM,3:00 PM,Colorado Springs,CO,Pikes Peak Center,190 S Cascade Ave,false,$4,,Sports Cards|Trading Cards,Fall Colorado Springs show with strong NFL card inventory heading into football season.,,,100,
Denver Fall Card Expo,2026-09-19,2026-09-20,9:00 AM,4:00 PM,Denver,CO,Colorado Convention Center,700 14th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Fall expo at the Convention Center — football season kickoff with 185 tables.,,,185,
Arvada Card Show,2026-10-03,2026-10-03,9:00 AM,2:00 PM,Arvada,CO,Arvada Center for the Arts,6901 Wadsworth Blvd,true,,,Sports Cards,Free northwest Denver metro card show in Arvada.,,,45,
Denver October Card Show,2026-10-10,2026-10-11,9:00 AM,4:00 PM,Denver,CO,Denver Merchandise Mart,451 E 58th Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,October Denver show with strong vintage and modern card selection.,,,165,
Colorado Springs Fall Spectacular,2026-10-17,2026-10-18,9:00 AM,4:00 PM,Colorado Springs,CO,Broadmoor World Arena,3185 Venetucci Blvd,false,$5,,Sports Cards|Trading Cards,Fall spectacular in Colorado Springs with 110+ dealer tables.,,,110,
Denver Fall Spectacular,2026-10-24,2026-10-25,9:00 AM,4:00 PM,Denver,CO,Colorado Convention Center,700 14th St,false,$6,,Sports Cards|Pokemon|Trading Cards,Flagship fall spectacular at the Colorado Convention Center — one of the biggest shows of the year.,,,200,
Denver Holiday Card Show,2026-11-07,2026-11-08,9:00 AM,4:00 PM,Denver,CO,Denver Merchandise Mart,451 E 58th Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-holiday Denver show at the Merchandise Mart with 165 tables.,,,165,
Colorado Springs Holiday Card Show,2026-11-21,2026-11-22,9:00 AM,3:00 PM,Colorado Springs,CO,Pikes Peak Center,190 S Cascade Ave,false,$4,,Sports Cards|Trading Cards,Pre-Thanksgiving Colorado Springs show great for holiday shopping.,,,100,
Denver Year-End Card Show,2026-12-05,2026-12-06,9:00 AM,4:00 PM,Denver,CO,Colorado Convention Center,700 14th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Year-end Denver show wrapping up 2026 with 185 tables.,,,185,
Fort Collins Holiday Card Show,2026-12-12,2026-12-12,9:00 AM,2:00 PM,Fort Collins,CO,Foothills Activity Center,215 N Mason St,false,$3,,Sports Cards,December Fort Collins holiday card show drawing northern Colorado collectors.,,,60,
